Country	Project	Latitude	Longitude	SampleCount
Nigeria	54gene	10.6000359	8.4999721	449
South Africa	AWI-Gen	-26.2166236	28.991639	100
Egypt	EGP	35.8681298	-90.9456751	11
Benin	H3Africa WGS	9.5293472	2.2584408	50
Botswana	H3Africa WGS	-23.1681782	24.5928742	48
Burkina Faso	H3Africa WGS	12.0753083	-1.6880314	33
Cameroon	H3Africa WGS	4.6125522	13.1535811	26
Cameroon	H3Africa WGS	4.6125522	13.1535811	24
Ghana	H3Africa WGS	8.0300284	-1.0800271	26
Mali	H3Africa WGS	16.3700359	-2.2900239	50
Nigeria	H3Africa WGS	9.0000359	7.6999721	49
Zambia	H3Africa WGS	-14.5189121	27.5589884	41
Afghanistan	HGDP	33.7680065	66.2385139	18
Algeria	HGDP	27.0000272	1.9999825	26
Botswana	HGDP	-23.1681782	24.5928742	4
Brazil	HGDP	-10.3333333	-53.2	15
Cambodia	HGDP	3.9767059	-73.1493675	8
Central African Republic	HGDP	7.0323598	19.9981227	24
China	HGDP	30.047992	-94.3357433	138
Colombia	HGDP	4.099917	-72.9088133	5
DRC	HGDP	-2.9819241	23.7680607	10
France	HGDP	46.603354	1.8883335	46
Guinea	HGDP	10.7226226	-10.7083587	20
Israel	HGDP	31.3181528	34.8109014	44
Italy	HGDP	42.6384261	12.674297	40
Japan	HGDP	36.5748441	139.2394179	27
Mexico	HGDP	19.4326296	-99.1331785	31
Myanmar	HGDP	22.0452303	96.4514694	5
Namibia	HGDP	-23.2335499	17.3231107	2
Nigeria	HGDP	9.6000359	7.9999721	18
Pakistan	HGDP	30.3308401	71.247499	155
Palestine	HGDP	31.7621153	-95.6307891	83
Papua New Guinea	HGDP	-5.6816069	144.2489081	25
Russia	HGDP	40.2338211	-84.4096729	61
Tanzania	HGDP	-6.5247123	35.7878438	10
United Kingdom	HGDP	54.7023545	-3.2765753	13
Bangladesh	KGP	24.2864982	90.0514231	86
Barbados	KGP	13.1500331	-59.5250305	96
China	KGP	30.047992	-94.3357433	301
Colombia	KGP	4.099917	-72.9088133	94
Finland	KGP	63.2467777	25.9209164	99
Gambia	KGP	13.470062	-15.4900464	113
India	KGP	22.3511148	78.6677428	205
Italy	KGP	42.6384261	12.674297	107
Japan	KGP	36.5748441	139.2394179	104
Kenya	KGP	1.4419683	38.4313975	99
Nigeria	KGP	11.6000359	7.9999721	207
Pakistan	KGP	30.3308401	71.247499	96
Peru	KGP	-6.8699697	-75.0458515	85
Puerto Rico	KGP	18.2247706	-66.4858295	104
Sierra Leone	KGP	8.6400349	-11.8400269	85
Spain	KGP	39.3260685	-4.8379791	107
Sri Lanka	KGP	7.5554942	80.7137847	102
United Kingdom	KGP	54.7023545	-3.2765753	91
United States	KGP	39.7837304	-100.445882	224
Vietnam	KGP	15.9266657	107.9650855	99
South Africa	SAALS	-33.9166236	18.42639	105
South Africa	SAHGP	-28.9166236	24.991639	24
Algeria	SGDP	29.0000272	2.9999825	2
Botswana	SGDP	-23.1681782	24.5928742	2
Central African Republic	SGDP	7.0323598	19.9981227	2
DRC	SGDP	-3.9819241	24.7680607	3
Gambia	SGDP	13.470062	-15.4900464	2
Kenya	SGDP	-1.2419683	36.8313975	9
Namibia	SGDP	-22.2335499	17.5231107	5
Nigeria	SGDP	9.6000359	7.9999721	4
Senegal	SGDP	14.4750607	-14.4529612	2
Sierra Leone	SGDP	8.6400349	-11.8400269	2
South Africa	SGDP	-28.8166236	24.991639	2
Sudan	SGDP	10.9	6.5	2
Western Sahara	SGDP	23.3406945	-13.12913265	2
